Term,Location or origin,Targets,"Meaning, origin and notes",References
Wagon burner,,Native American people,A reference to when Native American tribes would attack wagon trains during the wars in the eastern American frontier.,
"Wasi'chu, Wasichu","Lakota people, Dakota people",Non-Native white people,"Word for a non-Native white person, meaning ""the one who takes the best meat for himself.""",
West Brit,Ireland,Irish people,Directed at Irish people perceived as being insufficiently Irish or too Anglophilic.,
Wetback,United States,Undocumented immigrants,"Refers to undocumented immigrants residing in the United States. Originally applied specifically to undocumented Mexican migrant workers who had crossed the United States border via the Rio Grande river to find work in the United States, its meaning has since broadened to any undocumented person who enters the United States through its southern border.",
White ears,Nauru,White people,,
White interloper,,White people,Refers to a white person who becomes involved in a place or situation where they are not wanted or are considered not to belong.,
Wigger / Whigger / Wigga (meaning white nigger),United States,Irish people,"Used in 19th-century United States to refer to the Irish. Sometimes used today in reference to white people in a manner similar to white trash or redneck. Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. Also used by radical Québécois in self-reference, as in the seminal 1968 book White Niggers of America.",
White trash,United States,Poor white people,Common usage from the 1830s by black house slaves against white servants.,
Whitey,,White people,,
Wog,Commonwealth,Dark-skinned foreigners,"Any swarthy or dark-skinned foreigner. Possibly derived from ""golliwogg."" In Western nations, it usually refers to dark-skinned people from Asia or Africa, though some use the term to refer to anyone outside the borders of their own country.",
Wog,Australia,"Southern Europeans, Mediterraneans","Usually used to refer to Southern Europeans and Mediterraneans (Italians, Croatians, Greeks, Albanians, Spaniards, Lebanese, and others, including to a lesser extent those from former Yugoslavia). It has become reappropriated by the cultures that it is commonly used to describe, but may  be considered by some as controversial.",
Wop,"United States, Canada, United Kingdom",Italian people,"Derived from the Italian dialectism, ""guappo,"" close to ""dude, swaggerer"" and other informal appellations, a greeting among male Neapolitans.",
